                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3889,                 4.4991,                 1.1602,                 0.0625,                 0.0125,                 0.0375,                0.02198,                 1.4026,                 4.4495,                 1.0092,                  9e-05,                  9e-05,                  9e-05
                      1,                 1.3449,                 3.9733,                  1.102,                0.02499,                0.21298,                0.08195,                0.04745,                  1.461,                 4.2269,                0.99446,             0.00017584,             0.00017584,             0.00017584
                      2,                 1.3114,                 3.0467,                 1.0689,                0.94417,                 0.0772,                0.23918,                0.14073,                 1.4831,                  3.511,                 1.0255,             0.00025228,             0.00025228,             0.00025228
                      3,                 1.3476,                 2.3881,                 1.0878,                0.70166,                0.21345,                0.32516,                 0.1972,                 1.5317,                 2.8903,                 1.0793,             0.00031931,             0.00031931,             0.00031931
                      4,                 1.3507,                 2.1168,                  1.091,                0.57886,                0.29221,                0.37201,                0.22726,                 1.4946,                  2.629,                 1.1011,             0.00037694,             0.00037694,             0.00037694
                      5,                 1.2983,                 1.9679,                 1.0815,                 0.6491,                0.34939,                0.40497,                0.24234,                 1.5364,                 2.3434,                 1.1608,             0.00037625,             0.00037625,             0.00037625
                      6,                 1.3268,                  1.784,                 1.1318,                0.69674,                0.47555,                0.45921,                0.27498,                 1.5088,                  1.991,                 1.1419,             0.00037625,             0.00037625,             0.00037625
                      7,                 1.2435,                 1.7093,                 1.0808,                0.62401,                0.47308,                0.49497,                0.30512,                 1.4778,                 1.8177,                 1.1228,              0.0003515,              0.0003515,              0.0003515
                      8,                 1.2374,                 1.5794,                 1.0809,                0.70701,                0.49744,                0.50018,                0.30739,                 1.4796,                 1.6771,                 1.1276,             0.00032675,             0.00032675,             0.00032675
                      9,                 1.2315,                 1.5449,                 1.0786,                0.65743,                0.48754,                0.50868,                0.30554,                 1.4765,                 1.6014,                 1.1325,               0.000302,               0.000302,               0.000302
                     10,                 1.1724,                 1.4848,                 1.0467,                0.71639,                0.45438,                 0.4728,                0.29187,                 1.4656,                  1.733,                 1.1139,             0.00027725,             0.00027725,             0.00027725
                     11,                 1.1597,                 1.3893,                 1.0508,                0.77564,                0.49326,                 0.5397,                0.34709,                 1.4579,                 1.5594,                 1.1102,              0.0002525,              0.0002525,              0.0002525
                     12,                  1.104,                 1.3269,                 1.0028,                0.76303,                0.49734,                0.56163,                0.35992,                 1.4377,                 1.4772,                 1.1066,             0.00022775,             0.00022775,             0.00022775
                     13,                 1.0978,                 1.2764,                 1.0392,                0.71648,                0.51492,                0.52075,                0.32866,                 1.4277,                 1.4612,                 1.1055,               0.000203,               0.000203,               0.000203
                     14,                 1.0905,                 1.2352,                 1.0188,                0.66256,                0.52984,                0.52695,                0.33149,                 1.4134,                 1.4368,                 1.1087,             0.00017825,             0.00017825,             0.00017825
                     15,                 1.0818,                 1.2273,                  1.021,                0.77165,                0.50482,                0.53729,                0.34552,                 1.4197,                 1.4322,                 1.1038,              0.0001535,              0.0001535,              0.0001535
                     16,                  1.085,                 1.2287,                 1.0093,                0.76532,                0.51327,                0.54116,                0.34304,                 1.4025,                 1.3913,                 1.1088,             0.00012875,             0.00012875,             0.00012875
                     17,                 1.0546,                 1.1963,                 1.0135,                0.80092,                0.50453,                0.56503,                0.36004,                 1.4029,                 1.3616,                 1.1184,               0.000104,               0.000104,               0.000104
                     18,                 1.0565,                 1.1772,                 1.0085,                0.76577,                0.56059,                0.57776,                0.36963,                 1.4048,                 1.3629,                 1.1137,              7.925e-05,              7.925e-05,              7.925e-05
                     19,                 1.0631,                 1.1693,                 1.0018,                0.76724,                0.57109,                0.57756,                0.37215,                 1.3905,                 1.3508,                 1.1035,               5.45e-05,               5.45e-05,               5.45e-05
